id,translation.pbb,translation.spa
488,cdeeje'j-,acostar (v.t)
435,case-,aliviarse (v.r)
3705,yuwe quiis-,levantar chisme (v.t)
661,"cjũcj-, nuyaate-",limpiar (v.t)
1797,niisa nuuchsa,hija menor
822,cuetand,mambe (m)
2916,tsu'vy wee,hidropesía (f)
1574,"lavi'j-, plavi'j-",alisar (v.t)
2403,pyajtse-,dar asco (v.t)
3635,yu'īts,manantial (m)
3503,ya'dycjas,cabelludo (adj)
3227,uwe cu'jni,baile de la boda
884,cuse vijya,índice (dedo) (m)
2558,"sgajnde-, (rep) spandende-",templar (v.t)
2626,shpiipī,pisco (ave) (m)
2543,se'j- (sẽ'j-),fingir (v.t)
2786,tãsh,calcañar (m)
1318,"īishweete, penzhweete",vejez (f)
1315,iisawa'jnimẽe,mostrenco (adj)
2325,puiisã,peleador (m)
1391,iyu-,escapar (v.i)
1877,"nwe'we-, ewte nvijt-",salvar (v.t)
1883,nyafíia',antes (adv)
275,caaiviitu'j-,permitir destruir (v.t)
334,"caase-, jycaase-",descansar (v.i)
3152,ũs quiwe,"lugar habitual, patria (m)"
2489,quiwe mityj,olla de barro
3214,ũuse'se-,jadear (v.i)
3407,"wej, wejcuẽ","poco, poquito (adv)"
3655,yu'pets,vado (m)
970,cyaandu-,rodear (v.t)
1941,ocho,ocho (adj)
739,cpeelu'j-,hacer rodar (v.t)
3351,"wa'ta'j-, wa’ta atyaj-",ensillar (v.t)
2598,shiing-,sentir incapaz (v.i)
2080,pecu'j-,andar de un lugar a otro (v.i)
574,chu'nzhu,cordón (m)
2770,ta'nda,cucarrón (insecto) (m)
2426,quiitj,vertical (adj)
421,cami- (J),mentir (v.t)
3362,"watycue, watycuesa",perezoso (adj)
1441,jiyu-,comprender (v.t)
3060,tyweysá,vendedor (m)
380,cachrra u'p-,estar sentado (v.i)
896,cuspyãj,medianoche (f)
3121,umsã,tejedor (m)
2215,"pil, chinda pil",canilla (f)
3639,"yuju-, tishi-",pararse (v.r)
869,cuse meetjacue,dorso de la mano
3423,we'll,tieso  (adj )
2914,tsu'vy-,hincharse (v.r)
2212,piishãa tjengsa,pastor (m)
1724,nasa,gente (f)
3193,ũucjũucja',peligroso (adj)
1060,dyindy-,afeitar (v.t)
105,"anza, fytũu pagayũ",carpintero (ave) (m)
1696,much,cortado (adj)
185,ã'wala,lucero (m)
1844,nuyfi'nze-,permitir pasar el día (v.t)
1754,nchi'c nuuchsa,hijo menor
1792,niipeetje'j-,perjudicar (v.t)
1199,fīic-,poner sombrero (v.t)
846,cumby,"moján, mojano (ser sobrenatural) (m)"
1961,paatundy-,tomar (participar con otro)
3273,vitu'tu-,corcovear (v.i)
1014,deeway-,bostezar (v.i)
2852,tjẽysa,dificultad (f)
452,"catstende-, catsunde-",descoser (v.t)
2486,quiwe ẽse-,temblar (tierra) (v.i)
3418,wejya,viento (m)
2363,putsu,alfiler (m)
1287,īcy-,regañar (v.t)
2038,pcaaca,tío con sobrino o sobrina
3527,"yaja- (ñaja-), ucje-",chuzar (v.t)
1529,"jytjaas-, wẽje-",desear (v.t)
3028,tyity,barro (m)
2138,pelu-,despeñarse (v.r)
3644,yul ducj-,pagar deuda (v.t)
3226,ũ'wẽ,harina (f)
2182,pẽ'tsjutsj-,rociar (v.t)
2582,shã'shtu'j,tallo de flor de cabuya (m)
82,alcu,perro (m)
2135,"pe'late-, pe'ltete-",despedazarse (v.r)
659,cjũchji'j-,tiznar (v.t)
293,cãapa'j,hacer estallar (v.t)
2411,pyũuscue yaacyni,"rencor, resentimiento (m)"
464,caysã'ja'j-,hacer bajar (v.t)
781,ctejca-,pasar (al otro lado) (v.i)
1246,fychacha,lechero (árbol) (m)
1503,jypa'ga-,acoger (v.t)
741,cpeetya'j-,dejar pegar (v.t)
924,cuw,tumor (m)
3548,ya'nwe'we-,librarse (v.r)
1219,"fi'nzetste, cusutste",por la tarde
2451,quis-,quitar (mover de su lugar) (v.t)
2961,tupite-,hacerse mataduras (v.i)
2637,shũsh-,frotar (v.t)
1689,mjīisa,trabajador (m)
832,cuj yajcy-,vacilar (v.t)
1124,"en ji'pj-, tundu-",tener tiempo (v.i)
2438,quīm yujva,nadie (pron.indef)
3482,yaatse-,ser despreciado (v.i)
1665,menzu-,fingir ser partidario de (v.t) (fig)
1729,nasa dyi'j,vereda (f)
1761,"ndyiy, ndyi'sh",hermano (respecto a la hermana) (m)
3708,yuwe ũssa,quejoso (adj)
2975,tut-,picar (cortar a pedacitos) (v.t)
1405,"jembte, jembu",a la izquierda
2028,"patste, patsu","derecha, a la derecha (f)"
3754,"nasa kuh úushu npicthé' ki'pn'i, h'ukaysa we'wen'ihu yuwe teec' hwedsac'a kuki'n'i","nombramiento del mandatario por escogencia general, toma de una idea con la opinión de todos"
1314,iisawa'jni,marca (f)
1524,jytandy-,dar vuelta alrededor de (v.i)
3232,uy-,hallar (v.t)
1460,juraī-,jurar (v.t)
1001,cyũusu'j-,causar tristeza (v.t)
790,cuch,molestamente (adv)
1833,"nus pa'j-, nus quīj-",llover (v.i)
981,cytã'ja'j-,hacer basura (v.t)
24,"aca ũs-, caaca'j-",causar dolor (v.t)
2639,shũ'sh,crespo (adj)
385,cacue yu' vyaa-,menstruar (v.i)
1607,luñis,lunes (m)
2694,spjamb-,despajar (v.t)
147,a'te weete,en tiempo de luna
7,"F'i'n'i pe'la 40. Maa nasapa h'uka thé'na kabasa' c'hab wala ithaasn'isu kwekwe's ipa'kana, ew thegna, ma'we v'iitn'isupa u'kawa' hi'pa'. K'su' na'wesu tuduya' ewuwa'ha': 1. Kwekwe ki'pya', meec'a' ki'pn'iyuuya!. 2. Npicthé'sa' kihy yuuwa' iiste' c'hab wala's h'tukay pkhakhc'a papeyina, ha'dac'ac'a yahk'mete'; k'te kt'hit'hi'hi hi'pa'. Kihy yuuwa' iiste' npicthé'we's' c'hab wala's ya'papehyte' K'a t'hit'hite' ih ya'iisuna: Kihy yuuya'pc'a npicthé'a' c'hab wala's ewuma'k ewumema'k hin'ima'kyuu. Ikahsa ec ma'we fi'n'i iistepa c'hab-wala hu'ghumesate' k'te 1vituwa'ma'kyuu sa' iv'ituya' ya'ewuna. 3. C'hab wala ithiasn'ite yahk'c'a yu'pkhakhewa' v'itya', kwekwe ipa'kana, peek' ijuste u'kana, mhi's hwe pta's'na u'huya' ewuna, kimyuhpa yupn'ime. 4. Ec Ne'hwe's'te, Ec Ne'hwe's'hu yuhsate pu'kithc'a c'hab wala' npicthé' ki'pn'isat' k'a kwekwe's kha'khudeya' ewuna. 5. Ikahwa' v'itn'i kwekwesu ius ki'pna. 6. Maa nasapa h'ukay ikahsa Ec Ne'hwe's'a's Ec Ne'hwe's'hu yuhsa yuwe's nwe'wewa' hi'pta'. 7. Maa nasapa c'hab wala ikahn'i kwekwe's ipa'kac'a kwe's't'i nuyi'ya' ewuna. Napa naa Kulubya c'hab walahume yuhsa ayka fi'zena k'ah' kiweka fi'zena yuusa' kwe's't'i nuyi'ya' ewumena. I'nee Ec Ne'we's'hu yuhsa yuwe ku'le'teyu' mhiya' ewuna. Naa mhisu' u'ypa ikahwa' v'itn'i kwekwesu mtepa u'kakan npicthé'sawe's'a' pu'ze'het'na.","Artículo 40. Todo ciudadano tiene derecho a participar en la conformación, ejercicio y control del poder político. Para hacer efectivo este derecho puede: 1. Elegir y ser elegido. 2. Tomar parte en elecciones, plebiscitos, referendos, consultas populares y otras formas de participación democrática. 3. Constituir partidos, movimientos y agrupaciones políticas sin limitación alguna: formar parte de ellos libremente y difundir sus ideas y programas. 4. Revocar el mandato de los elegidos en los casos y en la forma que establecen la Constitución y la ley. 5. Tener iniciativa en las corporaciones públicas. 6. Interponer acciones públicas en defensa de la Constitución y de la ley. 7. Acceder al desempeño de funciones y cargos públicos, salvo los colombianos, por nacimiento o por adopción, que tengan doble nacionalidad. La ley reglamentará esta excepción y determinará los casos a los cuales ha de aplicarse. Las autoridades garantizarán adecuada y efectiva participación de la mujer en los niveles decisorios de la Administración Pública."
72,a'jsa,jinete (m)
3132,upj,cerca (cercado) (f)
2420,quiis-,alzar (v.t)
1384,īts yachni,hemorragia nasal (f)
2760,tajcy,animal domesticado
1457,ju'ngu we'we-,hablar a favor
737,"cpãyũuni, cpãvitni",herido (adj)
448,cats-,coser (v.t)
2448,qui'p-,nombrar (a un puesto) (v.t)
2868,"tjũwẽ much, much",sordo (adj)
2447,quindqui'cj-,fruncir las cejas (v.t)
1248,fyne'sh,saliva (f)
568,"chũjwa, chũjwe",filudo (adj)
1416,"jii-, jiyu-",saber (v.t)
3495,yacjtjẽ'j,hermana mayor
1240,fiycãj-,sentir extraño (v.i)
3759,C'hab wala kiwete ikahsa,(cuerpo)poder del gran pueblo de un territorio grande
3476,"yaaja-, (rep) yãaja'ja-",apuñalar (v.t)
1796,niisa ntjẽ'jsa,hija mayor
269,caagastaī'j-,hacer gastar (v.t)
2818,tejca-,ascender (v.i)
2679,soldau,sol dado (m)
541,"chindaj, chindarrãa",a pie
2248,pjiw-,encontrar (algo que otro ha perdido) (v.t)
768,csẽ'sẽ-,guiñar (v.t)
3148,ũs-,conceder (v.t)
437,case'j- (cãsej-),salir (v.i)
1319,"iitee, iitey",prematuro (adv)
2515,sa't,cacique indígena (m)
1604,"luasil, nuasel",alguacil (m)
1594,lepja,colgante (adj)
3234,u'y,mujer (f)
3323,wã'jy,grano (tumorcillo) (m)
2749,syaalu'j-,poner marca (v.t)
121,apjãa,tapa (f)
360,caauyu'j-,hacer ver (v.t)
3346,wat-,dorarse (tostar ligeramente) (v.i)
989,cytee pa'j,hasta allí
1241,"fiyuu-, (rep) fiyu'yu-",extrañarse (v.r)
2419,quiicje'j-,mandar matar (v.t)
1328,iiwejch,orgulloso (adj)
285,caanasa'j-,poner espantapájaros (v.t)
3493,yacj-,cargar (en los brazos) (v.t)
1418,ji'j,"descendente (m,f)"
3349,wa'ta spajcy-,desensillar (v.t)
472,caywẽchpa'ja'j-,dar ataque (v.t)
2160,pepy,robusto (adj)
1576,lavy-,ponerse liso (v.i)
1272,fyutsunde-,desarmar (v.t)
1622,"luupe'j-, nuylupe-",ablandar (v.t)
273,caaimi'j-,casar (a la hija) (v.t)
2104,peetje-,condimentar (v.i)
2610,"shi'ndy wala, chji'ndy wala",obscuridad (f)
3034,tyjẽ'en,viernes (m)
2563,shaacue'j-,abonar (echar abono a la tierra) (v.t)
828,cuj,muchos (adj)
1575,lavy,liso (adj)
2955,tuñ,encorvado (adj)
939,cwaatyi'j-,fatigar (v.t)
89,amb,surco (m)
1619,luucu,loco (adj)
795,"cuch vit-, cuch yuu-",molestar (v.t)
2682,spaatu ji'pjmẽe,descalzo (adj)
3219,uutjash,sembrado (m)
2097,pees-,obsequiar (v.t)
3338,walãa-,crecer (v.i)
566,chucuete-,arrancar (v.i)
2261,pllana',ácido (adj)
2513,sápatu,sábado (m)
917,cuutya'j-,arrimar (v.t)
1481,jyaw-,guardar (v.t)
3342,wa'lsa,renuente (desinclinado hacer algo) (adj)
3702,yuwe csuusu'j-,empezar un escándalo (v.t)
1090,ẽe cytã',escarcha (f)
2014,pangu,banca (f)
3378,wecha en,regocijo (m)
1495,jycjũucj-,limpiarse (a uno mismo) (v.r)
2886,tsẽy,verde (adj)
702,cnaasa',espantapájaros (m)
2431,quīj-,descender (v.i)
2892,tsiun,mora (f)
1320,"īits, tjẽ'j",maduro (adj)
3632,yu'cypeeni,consejo (m)
2006,pa'jywe'we-,insinuar (v.t)
2646,shũucuet,piedra (de afilar)
1262,fytũu ets,hoja (de árbol)
3695,yu'wala,río (m)
1172,ew yũu-,hacer bien (v.t)
1271,"fyutstende-, fyutsunde-",desclavar (v.t)
1308,iipshũ'j-,hacer sombra (v.t)
3581,yat tyaj-,edificar (v.t)
1433,jimba vyllili,casco (uña del pie del caballo) (m)
244,buu,chinche del árbol (insecto) (f)
927,cuwũu-,formar tumor (o chupo) (v.i)
1396,jamby-,esquivar (v.t)
1677,mish jamby,gato montés (m)
1216,"fi'nze, cusni",tarde (f)
323,caapuutsu'j-,mandar alimentar (v.t)
585,cjãambu,bastón (m)
2082,peecupy-,metamorfosear (v.t)
3288,vyu,plata (moneda)
3677,yu'tsesa,médico (m)
2254,pland ej,platanal (m)
2150,penda-,sepultar (v.t)
1959,paatste,secretamente (adv)
2171,pete,usado (adj)
2859,tjujarra ũs-,estar desnivelado (v.i)
1667,"menzucue, shita, ãnwẽse",avispa (f)
2604,shimb ej,maizal (nacido)
2054,"pchī', ipy pchī'",chlspa (f)
3263,vite ji's ji'pju wẽeni,codicia (f)
1710,muushi'j-,dar cambio (dinero) (v.t)
1684,mjīi ej,campo (de trabajo) (m)
1974,"paawe'weni, neecaawa'j",encargo (m)
3078,ucje-,espinarse (v.r)
1934,ñuspa',sabroso (a la vista)
1886,"nyafyte, cjuẽ'y, yatste",primero (de una serie) (adj)
1865,nuywala-,ampliar (v.t)
3652,"yunz cafy, ñunz cafy",ojo de aguja (m)
164,a'tsja-,colar (v.t)
973,"cyã'ji-, tyã'ji-",decir (v.t)
2943,tumb luuch,pichón (ave) (m)
1085,"echtsẽy, cupjy, cupjipy",luciérnaga (insecto) (f)
1008,davy-,revolver (v.t)
1899,ñeese-,tener 'sensaciones' en el cuerpo (v.i)
1881,nyacj,hermano (entre hombres) (m)
1755,ncuẽmiyũ,nuera (f)
22,ãapj-,asaltar (v.t)
1816,npe'sh,hermana (respecto al hermano) (f)
1856,"nuysẽj-, nuyquīj-",traer (desde arriba) (v.t)
902,cutyi'j-,alejar (v.t)
1205,"fi'j, pend, peendu'jni",rayado (p.p)
362,caavi'j,hacer escupir (v.t)
2229,pitstacy,joven (hombre) (m)
494,cfi'ja'j-,hacer escribir (v.t)
348,cãatsa'j,hacer enfermar (v.t)
126,arendaī-,arrendar (v.t)
2084,peecy yat,hogar (m)
1520,"jyputa, (rep) jyputa'ta-",coger rastro (perro) (v.t)
1712,"muutsu'j-, cluuvi'j-",amontonar (v.t)
2109,peetjenisa,condimento (m)
2031,patyu,patio (m)
1994,pa'gamẽe,barato (adj)
347,caatenzu'j-,cargar (debajo del brazo) (v.t)
2223,pi'pyshavy,"indígena pijao (m,f)"
3238,uyī-,pegar (v.t)
2055,pchi'c,hijo con el padre o la madre
3736,zunzu-,adelgazarse (v.r)
3793,Yuwe Dukhsa,"persona que lleva la palabra, mensaje"
2136,pelgatyi,alpargata (f)
3384,"wechana ũs-, wechana u'p-",estar contento (v.i)
2664,"siyula, u'sha",señora (de raza blanca) (f)
1458,ju'ngu yuu-,favorecer (v.t)
2405,pyãjũy,por la mitad
3518,ya'icj-,suicidarse (v.r)
2111,peetsu'j-,adelgazar (v.t)
692,cluuscjẽ fyuts-,crucificar (v.t)
1773,neeúu-,ahuyentar (v.t)
1548,jyũcjwende-,desatar nudo (v.t)
3420,wejya'jya-,correr brisa (v.i)
1453,"jũ'na qui'su, ũ'na qui'su",semana pasada
1651,"meen..., nuu...",por favor (imp)
3150,us cja'ty,vaina de fríjol
204,baytu'c-,oxidarse (v.r)
2002,pajnztewe'sh,cuarto (adj)
2337,pundúu,lezna (f)
808,cuentu'j,contar un relato (v.t)
1119,en,día (m)
357,caaũuspa'j-,ahogar (v.t)
137,atall we'we-,cantar (gallo) (v.i)
1326,iiwe-,dejarse coger (v.i)
576,"chu'nzhu-, cue'nzhi-",arrugarse (v.r)
3105,ũjt-,mojarse (v.i)
3721,"zeecu'j-, shush-",afilar (v.t)
1681,mityj um-,fabricar vasijas de barro (v.t)
3255,"vis-, visu's-",juguetear (v.t)
2734,"sute-, (rep) sute'te-",romperse (v.i)
668,cjũuchji'j-,ensuciar (v.t)
409,ca'jyam,trenza (f)
2733,"sute-, (rep) sute'te-",reventar (v.i)
3350,"wata, fitse",espeso (adj)
66,ãjmẽe,incompleto (adj)
1084,echtjẽ'j,diablo (m)
2255,pland pjapj,racimo (de plátano) (m)
3599,yechi-,sangrar (v.i)
3333,wala pa'gasa,costoso (adj)
1531,"jytjẽeyuu-, tyachi-",demorar (v.i)
2908,tsut ej,maizal (en choclo)
2840,tjẽ'j,anciano (m)
1719,naasã,sin embargo (conj)
960,cwetand tuca,calabazo (para coca)
3624,yu'cj cuchi,saíno (m)
980,cytã',basura (f)
427,canzh putasã,oler (mal)
714,"cpaachaty-, cpaaupacy-",lograr capujar (v.t)
1484,jycaaj-,ordenar (v.t)
1764,neej,mayor (él que manda) (m)
243,butswee wala,viruela (f)
3789,nasa kuhsa, muchedumbre
1407,jembu cuseju,zurdo (adj)
470,caytundu'j-,hacer amarrar (v.t)
59,ãj,completo (adj)
2939,tujndtujnd,poco a poco (adv)
1046,"dyiite, dyiiga",adentro (adv)
96,anayún,altasara (planta) (f)
1250,fytjaa we'we-,rogar (v.t)
1788,newe-,retener (v.t)
1026,dund,prisa (f)
3383,wechana,contento (adj)
3745,C'hab wala kiwete npicthé',mandatario(s) del territorio del pueblo grande
2650,"shuuna' ũs-, shuuna' yuu-",guardar silencio (v.t)
3475,yaacynimeete,sorpresivamente (adv)
3699,yuwe,noticia (f)
2504,saapajcy-,caerse (v.r)
345,caateca'j,hacer subir (v.t)
3583,yata's pqui'j-,dar posada (v.t)
3697,yuwe,boca (f)
3473,yaaca-,sentir dolor (v.i)
1357,ipy cleechi,llama (de fuego) (f)
2660,siete,siete (adj)
