nasa_yuwe,nasa_yuwe_raw,spanish,english,pos,semantic_domain,notes,sources,n_sources
a'te,a'te,"luna, mes","moon, month",n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,broomva_train,living_dictionaries,paper_2024",4
a'te luuch,a'te luuch,luna nueva,new moon,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_validation,living_dictionaries,paper_2024",3
a'te shi'ndy-,a'te shi'ndy-,haber eclipse de luna,to have a lunar eclipse,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
a'te tjé'j,a'te tjé'j,luna llena,,,,,paper_2024,1
a'te tjẽ'j,a'te tjẽ'j,luna llena,,,,,broomva_train,1
a'te tjẽj,a'te tjẽj,luna nueva,new moon,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
a'te uu-,a'te uu-,haber eclipse de luna,to have a lunar eclipse,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
a'te weete,a'te weete,en tiempo de luna,,,,,"broomva_train,paper_2024",2
a'teweete,a'teweete,en tiempo de luna,moon time,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
a'tsja-,a'tsja-,"cernir, cerner, colar","to sift, strain",verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
a'tsjanisa,a'tsjanisa,"cernidor, cernedor, cedazo, susunga","sifter, sieve",verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,broomva_train,living_dictionaries,paper_2024",4
a'tya-,a'tya-,1. abrirse  2. montar a horcajadas,"1. to open up, to be open  2. to straddle",verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
a'tyji'j-,a'tyji'j-,estornudar (v.t),,,,,"broomva_train,paper_2024",2
"a'tyji'j-, a'tyji'ji-","a'tyji'j-, a'tyji'ji-",estornudar,to sneeze,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
aacha'j-,aacha'j-,calentar (v.t),,,,,"broomva_train,paper_2024",2
"aacha'j-, aacha'ja-","aacha'j-, aacha'ja-",calentar,to heat up,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"aacha’j-, aacha’ja-","aacha’j-, aacha’ja-",calentar,,verb transitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
aan,aan,a ver,let's see,conjuction,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
aandas,aandas,andas (para llevar cadáveres),a stand for a coffin,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,living_dictionaries,paper_2024,swarthmore_talking",4
"aate, aaga","aate, aaga",abiertamente (adv),,,,,"broomva_train,paper_2024",2
aañu,aañu,año (m),,,,,"broomva_train,paper_2024",2
aañu iisa,aañu iisa,anualmente (adv),,,,,"broomva_validation,paper_2024",2
abelardo ramos,Abelardo Ramos,ABELARDO RAMOS,,,,,paper_2024,1
"ac'huya'ha' k'a'wecehk wétkwe puuk' f'i'zewa'ha's kpahk'na u'hwa'ha's mahiwa' wala úsa', khic'a k'a'we tas'i'na neesn'i's yuunna naa kulubyate ec ne'hwe's' u'se nuyi'n'ite","Ac'huya'ha' k'a'wecehk wétkwe puuk' f'i'zewa'ha's kpahk'na u'hwa'ha's mahiwa' wala úsa', khic'a k'a'we tas'i'na neesn'i's yuunna naa Kulubyate Ec Ne'hwe's' u'se nuyi'n'ite.","De hoy en adelante, creemos que es deber de todos trabajar por alcanzar mayores niveles de armonía y bienestar para así cosechar el fruto del ejercicio de la Nueva Constitución Colombiana.",,,,,paper_2024,1
aca,aca,el dolor,pain,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
aca cnay-,aca cnay-,sufrir dolor,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
aca pa'j-,aca pa'j-,doler,to hurt,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
aca pa’j-,aca pa’j-,doler,,verb transitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
aca yuu-,aca yuu-,doler,to hurt,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"aca yuu-, aca pa'j-, yaaca-","aca yuu-, aca pa'j-, yaaca-",doler (v.i),,,,,"broomva_train,paper_2024",2
"aca ús-, caaca'j-","aca ús-, caaca'j-",causar dolor,,,,,paper_2024,1
aca ũs-,aca ũs-,causar dolor o enfermedad,to cause pain or illness,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"aca ũs-, caaca'j-","aca ũs-, caaca'j-",causar dolor (v.t),,,,,broomva_train,1
"aca, acasa","aca, acasa",dolor (m),,,,,"broomva_test,paper_2024",2
acaach-,acaach-,caer encina de (v.t),,,,,"broomva_train,paper_2024",2
"acach-, acachji-","acach-, acachji-",caer encima de,to fall on top,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
acasa,acasa,la dolencia,ailment,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
acha,acha,caliente,hot (tempature),adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,broomva_train,living_dictionaries,paper_2024,swarthmore_talking",5
acha acha,acha acha,ligero,"light, thin",adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
acha quiwe,acha quiwe,tierra caliente,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
acha yuu-,acha yuu-,hacer calor,to be hot (tempature),verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
"acha, acha acha","acha, acha acha",ligero (adv),,,,,"broomva_train,paper_2024",2
achamée,achamée,inferior,inferior,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
achamée ew,achamée ew,inferior,,,,,paper_2024,1
achamée yũu-,achamée yũu-,hacer lo indebido,to do improperly,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
achamẽe ew,achamẽe ew,inferior (adj),,,,,broomva_train,1
acháa-,acháa-,calentarse,to heat (one's self),verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
acj,acj,"catarro, gripe, resfriado","cold, flu",n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
acj pa'j-,acj pa'j-,resfriarse (v.i),,,,,"broomva_test,paper_2024",2
"acj pa'j-, acj pa'ja-","acj pa'j-, acj pa'ja-",resfriarse,to catch a cold,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"acj pa’j-, acj pa’ja-","acj pa’j-, acj pa’ja-",resfriarse,,verb intransitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
acj-,acj-,echar (v.t),,,,,"broomva_train,paper_2024",2
"acj-, acje-","acj-, acje-","echar en, echar llave","to throw, to lock",verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
acjicj-,acjicj-,poner (cosa larga encima de),,,,,"broomva_test,paper_2024",2
"acjicj-, acjicje-","acjicj-, acjicje-",poner encima de (cosa larga),to place on top (large item),verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
acjus,acjus,el ajo,garlic,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
acy,acy,macana,stick like gardening tool,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"acy, a'cjy","acy, a'cjy",macana,,,,,paper_2024,1
"acy, a'cjy (t","acy, a'cjy (T)",macana (para cavar) (f),,,,,broomva_train,1
afi-,afi-,aclarar (agua contaminada) (v.i),,,,,"broomva_test,paper_2024",2
afijmb-,afijmb-,tapar por encima,to cover on top,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
afy,afy,"claro, no contiene nada","clean, clear",adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
afy tash,afy tash,guamo (árbol) (m),,,,,"broomva_validation,paper_2024",2
afy-afi-,afy-afi-,"aclarar, ponerse claro","to make clear, to make one's self clear",verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
aj,aj,el lugar,place,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
aj cshi'ta'j-,aj cshi'ta'j-,ahumar,to smoke,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,living_dictionaries,paper_2024",3
aj cshi’ta’j-,aj cshi’ta’j-,ahumar,,verb transitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
aj uweni,aj uweni,ahumado (p.p),,,,,"broomva_train,paper_2024",2
aj uweni-,aj uweni-,ahumado,smoked,past participle,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"aj-, íitse'j-, mityjaj-","aj-, íitse'j-, mityjaj-",cocinar,,,,,paper_2024,1
"aj-, īitse'j-, mityjaj-","aj-, īitse'j-, mityjaj-",cocinar (v.t),,,,,broomva_test,1
"aja-, ewuu-, chjáchja-","aja-, ewuu-, chjáchja-",poder,,,,,paper_2024,1
"aja-, ewuu-, chjãchja-","aja-, ewuu-, chjãchja-",poder (v.t),,,,,broomva_train,1
"aja-, sumba-","aja-, sumba-",alcanzar (ser suficiente) (v.i),,,,,"broomva_validation,paper_2024",2
ajaj,ajaj,con sabor de humo,smoked taste,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ajtsajtse,ajtsajtse,desprecio,disregard,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
ajtse-,ajtse-,odiar (v.t),,,,,"broomva_test,broomva_train,paper_2024",3
"ajtse-, atse-","ajtse-, atse-","despreciar, odiar","to disregard, to hate",verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"ajtse-, atseyajcy-, weech-","ajtse-, atseyajcy-, weech-",despreciar (v.t),,,,,"broomva_train,paper_2024",2
"ajtse-, dyí'wéje-","ajtse-, dyí'wéje-",menospreciar,,,,,paper_2024,1
"ajtse-, dyī'wẽje-","ajtse-, dyī'wẽje-",menospreciar (v.t),,,,,broomva_train,1
"ajwend-, ya'jwend-, pechujcue-","ajwend-, ya'jwend-, pechujcue-",dar látigo (v.t),,,,,"broomva_test,paper_2024",2
ajwned-,ajwned-,dar latigo,to whip,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
alcalte,alcalte,alcalde (m),,,,,"broomva_train,paper_2024",2
alcu,alcu,perro,dog,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
"alcu, alcucuẽ","alcu, alcucuẽ",el perro,dog,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
